EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
12935,HOUSTON CO.,LOVELADY,01/14/2007,200,Flash Flood, , ,0,0,0,0,TX,CST-6, ,2554,C,225,HGX,0,0,Law Enforcement,Heavy Rain, , ,0,SW,0,NE,WELDON,31.13,-95.43,31.02,-95.57,"Flooding reported between the towns of Weldon and Lovelady.","Upper level disturbance slowly moved eastward across region producing copious amounts of rain.",22
90820,HOUSTON CO.,CROCKETT,03/30/2008,1558,Flash Flood, , ,0,0,0,0,TX,CST-6, ,15853,C,225,HGX,0,0,Law Enforcement,Heavy Rain, , ,7,E,5,ENE,CROCKETT,31.32,-95.3314,31.3477,-95.3717,"Flooding was reported along SR 7 east of the town of Crockett.","A warm frontal boundary moving inland from the coast created thunderstorms that produced localized heavy rain.",23
407530,HOUSTON CO.,GRAPELAND,09/29/2012,2000,Flash Flood, , ,0,0,50000,0,TX,CST-6, ,67918,C,225,HGX,0,0,Emergency Manager,Heavy Rain, , ,2,WNW,4,E,DALYS,31.4896,-95.5042,31.4619,-95.5974,"Near ten inches of localized heavy rain caused flash flooding that washed away portions of FM 227 and led to road closures near the intersection of FM 227 and FM 2544 to the west through southwest of Grapeland. A metal roof awning collapsed due to the weight of the rain.","Heavy rainfall from a slow moving upper level low pressure system produced very heavy rainfall that led to flash flooding near Grapeland.",24
579246,HOUSTON CO.,CROCKETT,05/18/2015,730,Flash Flood, , ,0,0,0,0,TX,CST-6, ,96333,C,225,HGX,0,0,Law Enforcement,Heavy Rain, , ,1,NW,3,NNE,FODICE,31.3278,-95.463,31.2128,-95.2707,"Streets were flooded from Crockett to Weldon, including FM 2110, portions of Highway 21 west, CR 3385 near Austonio, and portions of FM 3580.","Slow moving thunderstorms formed along a boundary in a very moist air mass. These produced locally heavy rainfall and areas of flooding.",25
579791,HOUSTON CO.,CROCKETT,05/25/2015,1755,Flash Flood, , ,0,0,0,0,TX,CST-6, ,96313,C,225,HGX,0,0,Law Enforcement,Heavy Rain, , ,2,WNW,3,SW,CROCKETT,31.3325,-95.4829,31.2877,-95.4863,"Numerous roads were closed in and around Crockett.","Across already very saturated grounds, a slow moving line of thunderstorms moved into Harris County from central Texas during the evening hours of the 25th. Very heavy rainfall began in the mid evening hours across the northern portions of the county, while additional thunderstorms developed over central Fort Bend County and moved into Harris County from the southwest. A period of thunderstorm cell training occurred from around 10 PM to 1 AM from Fort Bend County into north-central Harris County where the cells merged with the line of storms moving southward from northern Harris County. Thunderstorm cell mergers continued over central and southwest Harris County for several hours resulting in widespread significant flooding. The Houston/Galveston National Weather Service Office issued their first ever Flash Flood Emergency for this event. The area's worst flooding was focused across the western portion of Harris County from the northwest side of the City of Houston to Addicks to Sharpstown to Richmond in central Fort Bend County. Hundreds of water rescues (mainly motorists stranded on area freeways and roadways) were performed by various agencies during the height of the rainfall. After daylight on the 26th, the Houston Fire Department responded to many requests for assistance of residences in flooded homes. Seven fatalities were directly related and one additional fatality was indirectly related to the flooding. Three fatalities resulted from the capsizing of a Houston Fire Department rescue boat in Brays Bayou and the other four were all flooded vehicle related. Rainfall totals averaged 3 to 4 inches across much of Harris County with totals of 4 to 6 inches from Humble to Jersey Village to Katy, and then eastward to Galveston Bay. Rainfall totals of 8 to 10 inches were recorded on the northwest side of the City of Houston southwest to Sugar Land. A maximum rainfall accumulation of 11 inches was recorded at Brays Bayou and Beltway 8. A CoCoRaHS observer 6.2 miles west of Downtown Houston recorded 10.03 inches of rainfall. Another observer 3.4 miles northeast of Richmond in Fort Bend County recorded 11.88 inches of rainfall. Maximum rainfall rates included 4.8 inches in one hour, 8. 3 inches in three hours, and 10.1 inches in six hours. The combination of the heavy rainfall and associated overflow of area creeks, rivers and bayous caused flood damage to thousands of homes and close to 100 commercial buildings.",26
589610,HOUSTON CO.,CROCKETT ARPT,06/18/2015,545,Flash Flood, , ,0,0,0,0,TX,CST-6, ,98068,C,225,HGX,0,0,Law Enforcement,Heavy Rain, , ,3,NNE,5,NE,FODICE,31.3378,-95.3799,31.2204,-95.2425,"Parts of Highway 287 and Highway 19 south were flooded and impassable between Crockett and Pennington and Crockett and Lovelady, respectively.","Training bands of thunderstorms fired up along the trailing remnants of Tropical Storm Bill as it moved through Oklahoma.",27
635825,HOUSTON CO.,LOVELADY,05/26/2016,1400,Flash Flood, , ,0,0,0,0,TX,CST-6, ,104613,C,225,HGX,0,0,Broadcast Media,Heavy Rain, , ,3,WNW,2,W,LOVELADY,31.1504,-95.4726,31.131,-95.4705,"SH 19 and FM 1280 were closed due to high flood waters covering the roadway.","Strong upper level disturbances combined with above average moisture levels and favorable upper level wind patterns to produce a round of severe thunderstorms that eventually trained and produced excessive rainfall and flash flood during the afternoon hours of the 26th and on into the overnight and early morning hours of the 27th. Rainfall totals of 6 to 10 inches were common over the north and northwestern parts of Harris County into Waller, Montgomery, and Washington Counties, with much of the rain falling in a 3 to 6 hour period. Portions of Washington County recorded over 12 inches of rainfall in a 3 hour period. This event was the fourth federal disaster declaration for Harris County in the last year.",28
693653,HOUSTON CO.,GRAPELAND,04/02/2017,1133,Flash Flood, , ,0,0,0,0,TX,CST-6, ,115427,C,225,HGX,0,0,Public,Heavy Rain, , ,2,WNW,5,NW,CUT,31.4967,-95.5069,31.2833,-95.5186,"Numerous roads were flooded and impassable in Grapeland, Latexo and Crockett. Sections of Loop 304 and Highway 19 in Crockett were closed due to flooding.","A storm system produced large hail, strong winds, a tornado and flash flooding.",29
702504,HOUSTON CO.,LATEXO,05/28/2017,1910,Flash Flood, , ,0,0,0,0,TX,CST-6, ,115481,C,225,HGX,0,0,Fire Department/Rescue,Heavy Rain, , ,3,SW,2,NW,CUT,31.3461,-95.5021,31.2486,-95.4866,"High rainfall accumulation from slow moving storms lead to the flooding of numerous streets within Crockett. There were multiple road closures in and around Crockett. Sections of 4th and 6th streets, East Goliad, the East and South Loop, Highway 19 south and Highway 7 east were some of the reported road closures due to inundating flood water.","Thunderstorms clustering upon a lower level boundary moving out of central Texas produced wind damage and flash flooding.",30
702514,HOUSTON CO.,MAPLETON,05/28/2017,2130,Flash Flood, , ,0,0,0,0,TX,CST-6, ,115481,C,225,HGX,0,0,Law Enforcement,Heavy Rain, , ,6,W,2,W,HOLLY,31.14,-95.77,31.1177,-95.3764,"There was widespread flooding across portions of Houston County including the towns of Austonio, Crockett, and Lovelady.","Thunderstorms clustering upon a lower level boundary moving out of central Texas produced wind damage and flash flooding.",31
714370,HOUSTON CO.,AUGUSTA,07/24/2017,630,Flash Flood, , ,0,0,0,0,TX,CST-6, ,118914,C,225,HGX,0,0,Law Enforcement,Heavy Rain, , ,3,N,0,E,AUGUSTA,31.5663,-95.3249,31.5297,-95.3219,"Heavy rain caused FM 227 and FM 3016 to become impassable due to flooding just east of Augusta.","Scattered thunderstorms slowly moving across Houston County put down high enough rainfall rates to induce localized flash flooding.",32
